Pokemon Evolution Index
-----------------------
Base Pokemon    | # Evolutions | 
Shroodle        |  94 evolutions | 
Shroomish       |  59 evolutions | 
Shuppet         |  33 evolutions | 
Silcoon         |  34 evolutions | 
Silicobra       |  47 evolutions | 
Sinistea        |  43 evolutions | 
Sizzlipede      |  64 evolutions | 
Skiddo          |  57 evolutions | 
Skiploom        |  81 evolutions | 
Skitty          |  27 evolutions | 
Skorupi         |  80 evolutions | 
Skrelp          | 109 evolutions | 
Skwovet         |  57 evolutions | 
Slakoth         |  45 evolutions | 
Sliggoo         |  23 evolutions | 
Sliggooh        |  39 evolutions | 
Slowpoke1       | 112 evolutions | 
Slowpoke2       | 112 evolutions | 
Slowpokeg       |  55 evolutions | 
Slugma          |  22 evolutions | 
Smeargle        |  19 evolutions | 
Smoliv          |  35 evolutions | 
Smoochum        |  55 evolutions | 
Sneasel         |  60 evolutions | 
Sneaselh        |  72 evolutions | 
Snivy           |  38 evolutions | 
Snom            |  58 evolutions | 
Snorunt1        |  31 evolutions | 
Snorunt2        |  34 evolutions | 
Snover          |  90 evolutions | 
Snubbull        |  29 evolutions | 
Sobble          |  41 evolutions | 
Solosis         |  10 evolutions | 
Spearow         |  72 evolutions | 
Spewpa          |  37 evolutions | 
Spheal          |  29 evolutions | 
Spidops         |  44 evolutions | 
Spinarak        |  40 evolutions | 
Spinda          |  58 evolutions | 
Spoink          |  52 evolutions | 
Sprigatito      |  35 evolutions | 
Spritzee        |  31 evolutions | 
Squawkbily      |  91 evolutions | 
Squirtle        |  32 evolutions | 
Stantler        |  64 evolutions | 
Staravia        |  95 evolutions | 
Starly          |  28 evolutions | 
Staryu          |  79 evolutions | 
Steenee         |  64 evolutions | 
Stufful         |  95 evolutions | 
Stunky          |  65 evolutions | 
Sudowoodo       |  45 evolutions | 
Sunflora        |  60 evolutions | 
Sunkern         |  42 evolutions | 
Surskit         |  84 evolutions | 
Swablu          |  97 evolutions | 
Swadloon        |  93 evolutions | 
Swinub          |  41 evolutions | 
Swirlix         |  28 evolutions | 
Swoobat         |  78 evolutions | 
Tadbulb         |  45 evolutions | 
Taillow         |  91 evolutions | 
Tandemaus       |  69 evolutions | 
Tangela         |  52 evolutions | 
Tarountula      |  36 evolutions | 
Teddiursa       |  78 evolutions | 
Tentacool       | 101 evolutions | 
Tepig           |  19 evolutions | 
Terapagos       |  51 evolutions | 
Thwackey        |  57 evolutions | 
Timburr         |  20 evolutions | 
Tinkatink       |  22 evolutions | 
Tinkatuff       |  54 evolutions | 
Tirtouga        | 101 evolutions | 
Toedscool       |  85 evolutions | 
Togedemaru      |  67 evolutions | 
Togepi          |  22 evolutions | 
Togetic         |  57 evolutions | 
Torchic         |  17 evolutions | 
Torracat        |  42 evolutions | 
Totodile        |  33 evolutions | 
Toxel1          |  69 evolutions | 
Toxel2          |  79 evolutions | 
Tranquill       |  95 evolutions | 
Trapinch        |   9 evolutions | 
Treecko         |  35 evolutions | 
Trubbish        |  51 evolutions | 
Trumbeak        |  98 evolutions | 
Turtwig         |  35 evolutions | 
Tympole         |  25 evolutions | 
Tynamo          |  15 evolutions | 
Type: Null      |  48 evolutions | 
Tyrogue1        |  27 evolutions | 
Tyrogue2        |  34 evolutions | 
Tyrogue3        |  37 evolutions | 
Tyrunt          |  60 evolutions | 
Unown           |  41 evolutions | 
Ursaring        |  49 evolutions | 
Vanillish       |  26 evolutions | 
Vanillite       |  15 evolutions | 
Varoom          |  68 evolutions | 
Venipede        |  24 evolutions | 
Venomoth        |  49 evolutions | 
Venonat         |  71 evolutions | 
Vibrava         |  55 evolutions | 
Vigoroth        |  12 evolutions | 
Vivillon        |  84 evolutions | 
Volbeat         |  36 evolutions | 
Voltorb         |  45 evolutions | 
Voltorbh        |  89 evolutions | 
Vullaby         |  71 evolutions | 
Vulpix          |  41 evolutions | 
Vulpixa         |  36 evolutions | 
Wailmer         |  86 evolutions | 
Wartortle       |  69 evolutions | 
Watchog         |  72 evolutions | 
Wattrel         |  77 evolutions | 
Weedle          |  15 evolutions | 
Weepinbell      |  90 evolutions | 
Whirlipede      |  83 evolutions | 
Whismur         |  20 evolutions | 
Wigglytuff      |  64 evolutions | 
Wiglett         |  39 evolutions | 
Wimpod          |  86 evolutions | 
Wingull         |  73 evolutions | 
Wishiwashi      |  12 evolutions | 
Wobbuffet       |  52 evolutions | 
Woobat          |  41 evolutions | 
Wooloo          |  74 evolutions | 
Wooper          |  48 evolutions | 
Wooperp         |  37 evolutions | 
Wormadam        |  85 evolutions | 
Wormadams       |  64 evolutions | 
Wormadamt       |  55 evolutions | 
Wugtrio         |  75 evolutions | 
Wurmple1        |  13 evolutions | 
Wurmple2        |  13 evolutions | 
Wynaut          |  32 evolutions | 
Yamask          |  42 evolutions | 
Yamaskg         |  64 evolutions | 
Yamper          |  44 evolutions | 
Yanma           |  84 evolutions | 
Yungoos         |  31 evolutions | 
Zigzagoon       |  32 evolutions | 
Zigzagoong      |  44 evolutions | 
Zorua           |  46 evolutions | 
Zoruah          |  85 evolutions | 
Zubat           |  73 evolutions | 
Zweilous        |  38 evolutions | 
-----------------------
Total Pokemon with evolution data: 601
